ROI,Subject,Session/Partition,LocalizerSize
LIFGorb,632_FED_20170825a_3T2_PL2017,1,37
LIFGorb,641_FED_20170824a_3T2_PL2017,1,37
LIFG,632_FED_20170825a_3T2_PL2017,1,74
LIFG,641_FED_20170824a_3T2_PL2017,1,74
LMFG,632_FED_20170825a_3T2_PL2017,1,46
LMFG,641_FED_20170824a_3T2_PL2017,1,46
LAntTemp,632_FED_20170825a_3T2_PL2017,1,162
LAntTemp,641_FED_20170824a_3T2_PL2017,1,162
LPostTemp,632_FED_20170825a_3T2_PL2017,1,294
LPostTemp,641_FED_20170824a_3T2_PL2017,1,294
LAngG,632_FED_20170825a_3T2_PL2017,1,64
LAngG,641_FED_20170824a_3T2_PL2017,1,64
