ROI,Subject,Weight
LIFGorb,430_FED_20170823a_3T2_PL2017,1.000000
LIFGorb,632_FED_20170825a_3T2_PL2017,1.000000
LIFGorb,641_FED_20170824a_3T2_PL2017,1.000000
LIFG,430_FED_20170823a_3T2_PL2017,1.000000
LIFG,632_FED_20170825a_3T2_PL2017,1.000000
LIFG,641_FED_20170824a_3T2_PL2017,1.000000
LMFG,430_FED_20170823a_3T2_PL2017,1.000000
LMFG,632_FED_20170825a_3T2_PL2017,1.000000
LMFG,641_FED_20170824a_3T2_PL2017,1.000000
LAntTemp,430_FED_20170823a_3T2_PL2017,1.000000
LAntTemp,632_FED_20170825a_3T2_PL2017,1.000000
LAntTemp,641_FED_20170824a_3T2_PL2017,1.000000
LPostTemp,430_FED_20170823a_3T2_PL2017,1.000000
LPostTemp,632_FED_20170825a_3T2_PL2017,1.000000
LPostTemp,641_FED_20170824a_3T2_PL2017,1.000000
LAngG,430_FED_20170823a_3T2_PL2017,1.000000
LAngG,632_FED_20170825a_3T2_PL2017,1.000000
LAngG,641_FED_20170824a_3T2_PL2017,1.000000
