ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,S,0.656808,0.474942,0.335835
LIFGorb,N,0.529848,0.606437,0.428816
LIFGorb,S-N,0.126961,0.131496,0.092981
LIFG,S,0.617144,0.472802,0.334322
LIFG,N,0.624186,0.417992,0.295565
LIFG,S-N,-0.007042,0.054810,0.038756
LMFG,S,0.647594,0.016706,0.011813
LMFG,N,0.649529,0.079900,0.056498
LMFG,S-N,-0.001935,0.096606,0.068311
LAntTemp,S,0.327614,0.769194,0.543902
LAntTemp,N,0.359689,0.751486,0.531381
LAntTemp,S-N,-0.032075,0.017708,0.012522
LPostTemp,S,0.663031,0.917794,0.648978
LPostTemp,N,0.540153,0.971801,0.687167
LPostTemp,S-N,0.122878,0.054007,0.038189
LAngG,S,-0.111537,1.201662,0.849703
LAngG,N,-0.123999,1.268933,0.897271
LAngG,S-N,0.012462,0.067271,0.047568
